symbol,company_name
PLC.N0000,People's Leasing & Finance PLC
PLR.N0000,Prime Lands Residencies PLC
PMB.N0000,PMF Finance PLC
RAL.N0000,Renuka Agri Foods PLC
RCH.N0000,Renuka Hotels PLC
RCL.N0000,Royal Ceramics Lanka PLC
REEF.N0000,Citrus Leisure PLC
RENU.N0000,Renuka City Hotels PLC
REXP.N0000,Richard Pieris Exports PLC
RFL.N0000,Ramboda Falls PLC
RGEM.N0000,Radiant Gems International PLC
RHL.N0000,Renuka Holdings PLC
RHL.X0000,Renuka Holdings PLC
RHTL.N0000,The Fortress Resorts PLC
RICH.N0000,Richard Pieris and Company PLC
RIL.N0000,R I L Property PLC
RPBH.N0000,Royal Palms Beach Hotels PLC
RWSL.N0000,Raigam Wayamba Salterns PLC
SAMP.N0000,Sampath Bank PLC
SCAP.N0000,Softlogic Capital PLC
SDB.N0000,SANASA Development Bank PLC
SDF.N0000,Sarvodaya Development Finance PLC
SEMB.N0000,SMB Finance PLC
SEMB.X0000,SMB Finance PLC
SERV.N0000,The Kingsbury PLC
SEYB.N0000,Seylan Bank PLC
SEYB.X0000,Seylan Bank PLC
SFCL.N0000,Senkadagala Finance PLC
SFIN.N0000,Singer Finance (Lanka) PLC
SHAW.N0000,Lee Hedges PLC
SHL.N0000,Softlogic Holdings PLC
SHOT.N0000,Serendib Hotels PLC
SHOT.X0000,Serendib Hotels PLC
SIGV.N0000,Sigiriya Village Hotels PLC
SIL.N0000,Samson International PLC
SING.N0000,Standard Capital PLC
SINH.N0000,Singhe Hospitals PLC
SINS.N0000,Singer (Sri Lanka) PLC
SIRA.N0000,Sierra Cables PLC
SLND.N0000,Serendib Land PLC
SLTL.N0000,Sri Lanka Telecom PLC
SMOT.N0000,Sathosa Motors PLC
SOY.N0000,Convenience Foods (Lanka) PLC
SPEN.N0000,Aitken Spence PLC
STAF.N0000,Dolphin Hotels PLC
SUN.N0000,Sunshine Holdings PLC
SWAD.N0000,The Swadeshi Industrial Works PLC
TAFL.N0000,Three Acre Farms PLC
TAJ.N0000,TAL Lanka Hotels PLC
TANG.N0000,Tangerine Beach Hotels PLC
TAP.N0000,Ambeon Capital PLC
TESS.N0000,Tess Agro PLC
TESS.X0000,Tess Agro PLC
TILE.N0000,Lanka Tiles PLC
TJL.N0000,Teejay Lanka PLC
TKYO.N0000,Tokyo Cement Company (Lanka) PLC
TKYO.X0000,Tokyo Cement Company (Lanka) PLC
TPL.N0000,Talawakelle Tea Estates PLC
TRAN.N0000,Trans Asia Hotels PLC
TSML.N0000,Tea Smallholder Factories PLC
TYRE.N0000,Kelani Tyres PLC
UAL.N0000,Union Assurance PLC
UBC.N0000,Union Bank of Colombo PLC
UBF.N0000,UB Finance PLC
UCAR.N0000,Union Chemicals Lanka PLC
UDPL.N0000,Udapussellawa Plantations PLC
UML.N0000,United Motors Lanka PLC
VFIN.N0000,Vallibel Finance PLC
VLL.N0000,Vidullanka PLC
VLL.X0000,Vidullanka PLC
VONE.N0000,Vallibel One PLC
VPEL.N0000,Vallibel Power Erathna PLC
WAPO.N0000,Galle Face Capital Partners PLC
WATA.N0000,Watawala Plantations PLC
WIND.N0000,WindForce PLC
WLTH.N0000,WealthTrust Securities Limited
YORK.N0000,York Arcade Holdings PLC
