date,symbol,yahoo_ticker,close_price,source,close,ret_1d,sma_50,sma_200,ema_20,rsi_14,macd,macd_signal,macd_hist,atr_14,vol_20,high_252,dist_to_52w_high,peak_close,drawdown,vol_sma_20,vol_spike,trend_long,rsi_state
2026-02-06,BPPL,BPPL-N0000.CM,18.0,weekly,18.0,,,,18.0,,0.0,0.0,0.0,,,,,18.0,0.0,,,DOWN,NORMAL
2026-02-06,BREW,BREW-N0000.CM,1900.0,weekly,1900.0,,,,1900.0,,0.0,0.0,0.0,,,,,1900.0,0.0,,,DOWN,NORMAL
2026-02-06,BRR,BRR-N0000.CM,13.0,weekly,13.0,,,,13.0,,0.0,0.0,0.0,,,,,13.0,0.0,,,DOWN,NORMAL
2026-02-06,BRWN,BRWN-N0000.CM,113.75,weekly,113.75,,,,113.75,,0.0,0.0,0.0,,,,,113.75,0.0,,,DOWN,NORMAL
2026-02-06,BUKI,BUKI-N0000.CM,390.75,weekly,390.75,,,,390.75,,0.0,0.0,0.0,,,,,390.75,0.0,,,DOWN,NORMAL
2026-02-06,CABO,CABO-N0000.CM,57.5,weekly,57.5,,,,57.5,,0.0,0.0,0.0,,,,,57.5,0.0,,,DOWN,NORMAL
2026-02-06,CALF,CALF-N0000.CM,39.4,weekly,39.4,,,,39.4,,0.0,0.0,0.0,,,,,39.4,0.0,,,DOWN,NORMAL
2026-02-06,CALH,,17.9,weekly,17.9,,,,17.9,,0.0,0.0,0.0,,,,,17.9,0.0,,,DOWN,NORMAL
2026-02-06,CALT,,53.3,weekly,53.3,,,,53.3,,0.0,0.0,0.0,,,,,53.3,0.0,,,DOWN,NORMAL
2026-02-06,CARE,CARE-N0000.CM,43.0,weekly,43.0,,,,43.0,,0.0,0.0,0.0,,,,,43.0,0.0,,,DOWN,NORMAL
2026-02-06,CARG,CARG-N0000.CM,385.0,weekly,385.0,,,,385.0,,0.0,0.0,0.0,,,,,385.0,0.0,,,DOWN,NORMAL
2026-02-06,CARS,CARS-N0000.CM,286.0,weekly,286.0,,,,286.0,,0.0,0.0,0.0,,,,,286.0,0.0,,,DOWN,NORMAL
2026-02-06,CBNK,CBNK-N0000.CM,7.7,weekly,7.7,,,,7.7,,0.0,0.0,0.0,,,,,7.7,0.0,,,DOWN,NORMAL
2026-02-06,CCS,CCS-N0000.CM,56.1,weekly,56.1,,,,56.1,,0.0,0.0,0.0,,,,,56.1,0.0,,,DOWN,NORMAL
2026-02-06,CDB,CDB-X0000.CM,94.7,weekly,94.7,,,,94.7,,0.0,0.0,0.0,,,,,94.7,0.0,,,DOWN,NORMAL
2026-02-06,CERA,CERA-N0000.CM,98.1,weekly,98.1,,,,98.1,,0.0,0.0,0.0,,,,,98.1,0.0,,,DOWN,NORMAL
2026-02-06,CFI,CFI-N0000.CM,64.0,weekly,64.0,,,,64.0,,0.0,0.0,0.0,,,,,64.0,0.0,,,DOWN,NORMAL
2026-02-06,CFIN,CFIN-N0000.CM,106.25,weekly,106.25,,,,106.25,,0.0,0.0,0.0,,,,,106.25,0.0,,,DOWN,NORMAL
2026-02-06,CFLB,CFLB-N0000.CM,29.9,weekly,29.9,,,,29.9,,0.0,0.0,0.0,,,,,29.9,0.0,,,DOWN,NORMAL
2026-02-06,CFVF,CFVF-N0000.CM,27.4,weekly,27.4,,,,27.4,,0.0,0.0,0.0,,,,,27.4,0.0,,,DOWN,NORMAL
2026-02-06,CHL,CHL-X0000.CM,92.0,weekly,92.0,,,,92.0,,0.0,0.0,0.0,,,,,92.0,0.0,,,DOWN,NORMAL
2026-02-06,CHMX,CHMX-N0000.CM,80.3,weekly,80.3,,,,80.3,,0.0,0.0,0.0,,,,,80.3,0.0,,,DOWN,NORMAL
2026-02-06,CHOT,CHOT-N0000.CM,18.5,weekly,18.5,,,,18.5,,0.0,0.0,0.0,,,,,18.5,0.0,,,DOWN,NORMAL
2026-02-06,CIC,CIC-X0000.CM,52.6,weekly,52.6,,,,52.6,,0.0,0.0,0.0,,,,,52.6,0.0,,,DOWN,NORMAL
2026-02-06,CIND,CIND-N0000.CM,112.5,weekly,112.5,,,,112.5,,0.0,0.0,0.0,,,,,112.5,0.0,,,DOWN,NORMAL
2026-02-06,CINS,CINS-X0000.CM,915.0,weekly,915.0,,,,915.0,,0.0,0.0,0.0,,,,,915.0,0.0,,,DOWN,NORMAL
2026-02-06,CINV,CINV-N0000.CM,48.5,weekly,48.5,,,,48.5,,0.0,0.0,0.0,,,,,48.5,0.0,,,DOWN,NORMAL
2026-02-06,CIT,CIT-N0000.CM,112.75,weekly,112.75,,,,112.75,,0.0,0.0,0.0,,,,,112.75,0.0,,,DOWN,NORMAL
2026-02-06,CITH,CITH-N0000.CM,4.1,weekly,4.1,,,,4.1,,0.0,0.0,0.0,,,,,4.1,0.0,,,DOWN,NORMAL
2026-02-06,CITW,CITW-N0000.CM,2.2,weekly,2.2,,,,2.2,,0.0,0.0,0.0,,,,,2.2,0.0,,,DOWN,NORMAL
2026-02-06,CLND,CLND-N0000.CM,19.5,weekly,19.5,,,,19.5,,0.0,0.0,0.0,,,,,19.5,0.0,,,DOWN,NORMAL
2026-02-06,COCO,COCO-X0000.CM,10.4,weekly,10.4,,,,10.4,,0.0,0.0,0.0,,,,,10.4,0.0,,,DOWN,NORMAL
2026-02-06,COCR,COCR-N0000.CM,38.0,weekly,38.0,,,,38.0,,0.0,0.0,0.0,,,,,38.0,0.0,,,DOWN,NORMAL
2026-02-06,COLO,COLO-N0000.CM,90.0,weekly,90.0,,,,90.0,,0.0,0.0,0.0,,,,,90.0,0.0,,,DOWN,NORMAL
2026-02-06,COMB,COMB-X0000.CM,76.3,weekly,76.3,,,,76.3,,0.0,0.0,0.0,,,,,76.3,0.0,,,DOWN,NORMAL
2026-02-06,COMD,COMD-N0000.CM,115.5,weekly,115.5,,,,115.5,,0.0,0.0,0.0,,,,,115.5,0.0,,,DOWN,NORMAL
2026-02-06,CONN,CONN-N0000.CM,19.5,weekly,19.5,,,,19.5,,0.0,0.0,0.0,,,,,19.5,0.0,,,DOWN,NORMAL
2026-02-06,COOP,,4.4,weekly,4.4,,,,4.4,,0.0,0.0,0.0,,,,,4.4,0.0,,,DOWN,NORMAL
2026-02-06,CPRT,CPRT-N0000.CM,114.5,weekly,114.5,,,,114.5,,0.0,0.0,0.0,,,,,114.5,0.0,,,DOWN,NORMAL
2026-02-06,CRL,CRL-N0000.CM,5.8,weekly,5.8,,,,5.8,,0.0,0.0,0.0,,,,,5.8,0.0,,,DOWN,NORMAL
2026-02-06,CSD,CSD-N0000.CM,16.3,weekly,16.3,,,,16.3,,0.0,0.0,0.0,,,,,16.3,0.0,,,DOWN,NORMAL
2026-02-06,CSF,CSF-N0000.CM,0.2,weekly,0.2,,,,0.2,,0.0,0.0,0.0,,,,,0.2,0.0,,,DOWN,NORMAL
2026-02-06,CSLK,,14.5,weekly,14.5,,,,14.5,,0.0,0.0,0.0,,,,,14.5,0.0,,,DOWN,NORMAL
2026-02-06,CTBL,CTBL-N0000.CM,5.2,weekly,5.2,,,,5.2,,0.0,0.0,0.0,,,,,5.2,0.0,,,DOWN,NORMAL
2026-02-06,CTC,CTC-N0000.CM,1232.75,weekly,1232.75,,,,1232.75,,0.0,0.0,0.0,,,,,1232.75,0.0,,,DOWN,NORMAL
2026-02-06,CTEA,CTEA-N0000.CM,1000.0,weekly,1000.0,,,,1000.0,,0.0,0.0,0.0,,,,,1000.0,0.0,,,DOWN,NORMAL
2026-02-06,CTHR,CTHR-N0000.CM,295.0,weekly,295.0,,,,295.0,,0.0,0.0,0.0,,,,,295.0,0.0,,,DOWN,NORMAL
2026-02-06,CTLD,CTLD-N0000.CM,24.1,weekly,24.1,,,,24.1,,0.0,0.0,0.0,,,,,24.1,0.0,,,DOWN,NORMAL
2026-02-06,CWL,CWL-N0000.CM,9.6,weekly,9.6,,,,9.6,,0.0,0.0,0.0,,,,,9.6,0.0,,,DOWN,NORMAL
2026-02-06,CWM,CWM-N0000.CM,93.3,weekly,93.3,,,,93.3,,0.0,0.0,0.0,,,,,93.3,0.0,,,DOWN,NORMAL
2026-02-06,DFCC,DFCC-N0000.CM,71.0,weekly,71.0,,,,71.0,,0.0,0.0,0.0,,,,,71.0,0.0,,,DOWN,NORMAL
2026-02-06,DIAL,DIAL-N0000.CM,9.4,weekly,9.4,,,,9.4,,0.0,0.0,0.0,,,,,9.4,0.0,,,DOWN,NORMAL
2026-02-06,DIMO,DIMO-N0000.CM,585.5,weekly,585.5,,,,585.5,,0.0,0.0,0.0,,,,,585.5,0.0,,,DOWN,NORMAL
2026-02-06,DIPD,DIPD-N0000.CM,35.1,weekly,35.1,,,,35.1,,0.0,0.0,0.0,,,,,35.1,0.0,,,DOWN,NORMAL
2026-02-06,DIST,DIST-N0000.CM,26.2,weekly,26.2,,,,26.2,,0.0,0.0,0.0,,,,,26.2,0.0,,,DOWN,NORMAL
2026-02-06,DOCK,DOCK-N0000.CM,44.2,weekly,44.2,,,,44.2,,0.0,0.0,0.0,,,,,44.2,0.0,,,DOWN,NORMAL
2026-02-06,DPL,DPL-N0000.CM,21.5,weekly,21.5,,,,21.5,,0.0,0.0,0.0,,,,,21.5,0.0,,,DOWN,NORMAL
2026-02-06,EAST,EAST-N0000.CM,10.4,weekly,10.4,,,,10.4,,0.0,0.0,0.0,,,,,10.4,0.0,,,DOWN,NORMAL
2026-02-06,EBCR,EBCR-N0000.CM,24.0,weekly,24.0,,,,24.0,,0.0,0.0,0.0,,,,,24.0,0.0,,,DOWN,NORMAL
2026-02-06,ECL,ECL-N0000.CM,13.3,weekly,13.3,,,,13.3,,0.0,0.0,0.0,,,,,13.3,0.0,,,DOWN,NORMAL
2026-02-06,EDEN,EDEN-N0000.CM,12.2,weekly,12.2,,,,12.2,,0.0,0.0,0.0,,,,,12.2,0.0,,,DOWN,NORMAL
2026-02-06,ELPL,ELPL-N0000.CM,99.0,weekly,99.0,,,,99.0,,0.0,0.0,0.0,,,,,99.0,0.0,,,DOWN,NORMAL
2026-02-06,EMER,EMER-N0000.CM,7.0,weekly,7.0,,,,7.0,,0.0,0.0,0.0,,,,,7.0,0.0,,,DOWN,NORMAL
