date,symbol,yahoo_ticker,close_price
2026-02-04,HNB,HNB-X0000.CM,148.75
2026-02-04,HNBF,HNBF-X0000.CM,5.5
2026-02-04,HOPL,HOPL-N0000.CM,38.0
2026-02-04,HPFL,HPFL-N0000.CM,11.1
2026-02-04,HPL,HPL-N0000.CM,23.5
2026-02-04,HPWR,HPWR-N0000.CM,22.0
2026-02-04,HSIG,HSIG-N0000.CM,46.4
2026-02-04,HUNA,HUNA-N0000.CM,23.5
2026-02-04,HUNT,HUNT-N0000.CM,619.75
2026-02-04,JAT,JAT-N0000.CM,19.1
2026-02-04,JETS,JETS-N0000.CM,8.0
2026-02-04,JINS,JINS-N0000.CM,36.7
2026-02-04,JKH,JKH-N0000.CM,190.5
2026-02-04,JKL,JKL-N0000.CM,67.0
2026-02-04,KAHA,KAHA-N0000.CM,17.0
2026-02-04,KCAB,KCAB-N0000.CM,287.75
2026-02-04,KFP,KFP-N0000.CM,160.25
2026-02-04,KGAL,KGAL-N0000.CM,113.0
2026-02-04,KHC,KHC-N0000.CM,7.8
2026-02-04,KHL,KHL-N0000.CM,16.9
2026-02-04,KOTA,KOTA-N0000.CM,5.9
2026-02-04,KPHL,KPHL-N0000.CM,6.9
2026-02-04,KVAL,KVAL-N0000.CM,74.2
2026-02-04,KZOO,KZOO-N0000.CM,7.5
2026-02-04,LALU,LALU-N0000.CM,23.3
2026-02-04,LAMB,LAMB-N0000.CM,389.5
2026-02-04,LCEY,LCEY-N0000.CM,75.6
2026-02-04,LDEV,LDEV-N0000.CM,15.5
2026-02-04,LFIN,LFIN-N0000.CM,66.0
2026-02-04,LGL,LGL-X0000.CM,18.7
2026-02-04,LHCL,LHCL-N0000.CM,105.0
2026-02-04,LHL,LHL-N0000.CM,43.1
2026-02-04,LIOC,LIOC-N0000.CM,119.0
2026-02-04,LION,LION-N0000.CM,1023.75
2026-02-04,LITE,LITE-N0000.CM,16.9
2026-02-04,LLUB,LLUB-N0000.CM,120.0
2026-02-04,LMF,LMF-N0000.CM,27.8
2026-02-04,LOFC,LOFC-N0000.CM,6.1
2026-02-04,LOLC,LOLC-N0000.CM,430.75
2026-02-04,LPL,LPL,3.84
2026-02-04,LPRT,LPRT-N0000.CM,189.0
2026-02-04,LVEF,LVEF-N0000.CM,4.4
2026-02-04,LVEN,LVEN-N0000.CM,28.0
2026-02-04,LWL,LWL-N0000.CM,50.0
2026-02-04,MADU,MADU-N0000.CM,9.9
2026-02-04,MAL,MAL-X0000.CM,37.5
2026-02-04,MARA,MARA-N0000.CM,4.1
2026-02-04,MASK,MASK-N0000.CM,30.0
2026-02-04,MBSL,MBSL-N0000.CM,5.4
2026-02-04,MCPL,MCPL-N0000.CM,28.0
2026-02-04,MDL,MDL-N0000.CM,8.5
2026-02-04,MEL,MEL-N0000.CM,2.0
2026-02-04,MELS,MELS-N0000.CM,83.0
2026-02-04,MERC,MERC-N0000.CM,2600.0
2026-02-04,MGT,MGT-N0000.CM,45.0
2026-02-04,MHDL,MHDL-N0000.CM,2.9
2026-02-04,MRH,MRH-N0000.CM,13.3
2026-02-04,MSL,MSL-N0000.CM,175.0
2026-02-04,MULL,MULL-N0000.CM,1.1
2026-02-04,NAMU,NAMU-N0000.CM,339.5
2026-02-04,NDB,NDB-N0000.CM,71.0
2026-02-04,NEH,NEH-N0000.CM,2168.5
2026-02-04,NHL,NHL-N0000.CM,3.9
2026-02-04,NTB,NTB-N0000.CM,121.0
2026-02-04,ODEL,ODEL-N0000.CM,12.5
2026-02-04,OFEQ,OFEQ-N0000.CM,97.0
2026-02-04,ONAL,ONAL-N0000.CM,24.2
2026-02-04,OSEA,OSEA-N0000.CM,17.0
2026-02-04,PABC,PABC-N0000.CM,20.0
2026-02-04,PACK,PACK-N0000.CM,13.2
2026-02-04,PALM,PALM-N0000.CM,43.0
2026-02-04,PAP,PAP-N0000.CM,4.0
2026-02-04,PARA,PARA-N0000.CM,51.0
2026-02-04,PARQ,PARQ-N0000.CM,20.0
2026-02-04,PEG,PEG-N0000.CM,26.1
2026-02-04,PHAR,PHAR-N0000.CM,47.1
2026-02-04,PINS,PINS-N0000.CM,21.1
2026-02-04,PLC,PLC-N0000.CM,12.1
2026-02-04,PLR,PLR-N0000.CM,8.0
2026-02-04,PMB,PMB-N0000.CM,5.0
2026-02-04,RAL,RAL-N0000.CM,3.59747
2026-02-04,RCH,RCH-N0000.CM,106.0
2026-02-04,RCL,RCL-N0000.CM,31.9
2026-02-04,REEF,REEF-N0000.CM,4.6
2026-02-04,RENU,RENU-N0000.CM,350.0
2026-02-04,REXP,REXP-N0000.CM,433.0
2026-02-04,RFL,RFL-N0000.CM,28.6
2026-02-04,RGEM,RGEM-N0000.CM,106.0
2026-02-04,RHL,RHL-X0000.CM,11.4
2026-02-04,RHTL,RHTL-N0000.CM,24.0
2026-02-04,RICH,RICH-N0000.CM,19.8
2026-02-04,RIL,RIL-N0000.CM,7.4
2026-02-04,RPBH,RPBH-N0000.CM,29.8
2026-02-04,RWSL,RWSL-N0000.CM,7.0
2026-02-04,SAMP,SAMP-N0000.CM,75.9
2026-02-04,SCAP,SCAP-N0000.CM,6.5
2026-02-04,SDB,SDB-N0000.CM,30.4
2026-02-04,SDF,SDF-N0000.CM,13.0
2026-02-04,SEMB,SEMB-X0000.CM,0.3
2026-02-04,SERV,SERV-N0000.CM,10.0
2026-02-04,SEYB,SEYB-X0000.CM,35.0
2026-02-04,SFCL,SFCL-N0000.CM,375.25
2026-02-04,SFIN,SFIN-N0000.CM,16.0
2026-02-04,SHAW,SHAW-N0000.CM,88.9
2026-02-04,SHL,SHL-N0000.CM,8.8
2026-02-04,SHOT,SHOT-X0000.CM,9.3
2026-02-04,SIGV,SIGV-N0000.CM,38.3
2026-02-04,SIL,SIL-N0000.CM,149.0
2026-02-04,SING,SING-N0000.CM,35.5
2026-02-04,SINH,SINH-N0000.CM,2.4
2026-02-04,SINS,SINS-N0000.CM,15.3
2026-02-04,SIRA,SIRA-N0000.CM,10.7
2026-02-04,SLND,SLND-N0000.CM,1334.75
2026-02-04,SLTL,SLTL-N0000.CM,71.1
2026-02-04,SMOT,SMOT-N0000.CM,230.0
2026-02-04,SOY,SOY-N0000.CM,850.0
2026-02-04,SPEN,SPEN-N0000.CM,125.0
2026-02-04,STAF,STAF-N0000.CM,34.8
2026-02-04,SUN,SUN-N0000.CM,61.5
2026-02-04,TAFL,TAFL-N0000.CM,303.5
2026-02-04,TAJ,TAJ-N0000.CM,18.2
2026-02-04,TANG,TANG-N0000.CM,63.9
2026-02-04,TAP,TAP-N0000.CM,12.4
2026-02-04,TESS,TESS-X0000.CM,0.7
2026-02-04,TILE,TILE-N0000.CM,50.0
2026-02-04,TJL,TJL-N0000.CM,39.5
2026-02-04,TKYO,TKYO-X0000.CM,42.0
2026-02-04,TPL,TPL-N0000.CM,132.5
2026-02-04,TRAN,TRAN-N0000.CM,40.0
2026-02-04,TSML,TSML-N0000.CM,41.7
2026-02-04,TYRE,TYRE-N0000.CM,75.0
2026-02-04,UAL,UAL-N0000.CM,45.0
2026-02-04,UBC,UBC-N0000.CM,9.2
2026-02-04,UBF,UBF-N0000.CM,1.12
2026-02-04,UCAR,UCAR-N0000.CM,674.5
2026-02-04,UDPL,UDPL-N0000.CM,73.1
2026-02-04,UML,UML-N0000.CM,69.3
2026-02-04,VFIN,VFIN-N0000.CM,40.9
2026-02-04,VLL,VLL-X0000.CM,8.4
2026-02-04,VONE,VONE-N0000.CM,47.5
2026-02-04,VPEL,VPEL-N0000.CM,8.4
2026-02-04,WAPO,WAPO-N0000.CM,27.9
2026-02-04,WATA,WATA-N0000.CM,87.3
2026-02-04,WIND,WIND-N0000.CM,19.7
2026-02-04,WLTH,WLTH,8.525
2026-02-04,YORK,YORK-N0000.CM,131.75
