symbol,company,cse_symbol,yahoo_ticker
AAF,Asia Asset Finance PLC,AAF.N0000,AAF-N0000.CM
AAF,Asia Asset Finance PLC,AAF.P0000,AAF-P0000.CM
AAIC,Softlogic Life Insurance PLC,AAIC.N0000,AAIC-N0000.CM
ABAN,Abans Electricals PLC,ABAN.N0000,ABAN-N0000.CM
ABL,Aṃna Bank PLC,ABL.N0000,ABL-N0000.CM
ACAP,Asia Capital PLC,ACAP.N0000,ACAP-N0000.CM
ACL,ACL Cables PLC,ACL.N0000,ACL-N0000.CM
ACME,ACME Printing and Packaging PLC,ACME.N0000,ACME-N0000.CM
AEL,Access Engineering PLC,AEL.N0000,AEL-N0000.CM
AFS,Alpha Fire Services PLC,AFS.N0000,AFS-N0000.CM
AFSL,Abans Finance PLC,AFSL.N0000,AFSL-N0000.CM
AGAL,Agalawatte Plantations PLC,AGAL.N0000,AGAL-N0000.CM
AGPL,Agarapatana Plantations Limited,AGPL.N0000,AGPL-N0000.CM
AGST,AgStar PLC,AGST.N0000,AGST-N0000.CM
AGST,AgStar PLC,AGST.X0000,AGST-X0000.CM
AHPL,Asian Hotels and Properties PLC,AHPL.N0000,AHPL-N0000.CM
AHUN,Aitken Spence Hotel Holdings PLC,AHUN.N0000,AHUN-N0000.CM
AINS,Arpico Insurance PLC,AINS.N0000,AINS-N0000.CM
ALLI,Alliance Finance Company PLC,ALLI.N0000,ALLI-N0000.CM
ALUM,Alumex PLC,ALUM.N0000,ALUM-N0000.CM
AMF,Associated Motor Finance Company PLC,AMF.N0000,AMF-N0000.CM
AMSL,Asiri Surgical Hospital PLC,AMSL.N0000,AMSL-N0000.CM
APLA,ACL Plastics PLC,APLA.N0000,APLA-N0000.CM
ASCO,Lanka Realty Investments PLC,ASCO.N0000,ASCO-N0000.CM
ASHO,Lanka Ashok Leyland PLC,ASHO.N0000,ASHO-N0000.CM
ASIR,Asiri Hospital Holdings PLC,ASIR.N0000,ASIR-N0000.CM
